name,url,image
Using React Hooks,https://pluralsight.pxf.io/v9n5O,/wp/wp-content/uploads/2019/sidebar09.png
Server-side React with NextJS,https://pluralsight.pxf.io/v9n5O,/wp/wp-content/uploads/2019/sidebar08.png
React and ASP.NET Core,https://pluralsight.pxf.io/v9n5O,/wp/wp-content/uploads/2018/05/sidebar07.png
Securing Multi-tenant ASP.NET,https://pluralsight.pxf.io/v9n5O,/wp/wp-content/uploads/2018/05/sidebar01.png
ASP.NET Core Tag Helpers and View Components,https://pluralsight.pxf.io/v9n5O,/wp/wp-content/uploads/2018/05/sidebar02.png
Multi-tenant ASP.NET,https://pluralsight.pxf.io/v9n5O,/wp/wp-content/uploads/2018/05/sidebar07.png
ExtJS Fundamentals,https://pluralsight.pxf.io/v9n5O,/wp/wp-content/uploads/2018/05/sidebar04.png

